Error,Step,Solution,Time
1.000000E-04,7640,29,356
1.000000E-04,7650,29,356
1.000000E-04,7660,29,353
1.000000E-04,7670,29,357
1.000000E-04,7680,29,355
1.000000E-04,7690,29,364
1.000000E-04,7700,29,356
1.000000E-04,7710,29,363
1.000000E-04,7720,29,360
1.000000E-04,7730,29,363
1.000000E-04,7740,29,363
1.000000E-04,7750,29,358
1.000000E-04,7760,29,369
1.000000E-04,7770,29,359
1.000000E-04,7780,29,363
1.000000E-04,7790,29,363
1.000000E-04,7800,29,361
1.000000E-04,7810,29,364
1.000000E-04,7820,29,362
1.000000E-04,7830,29,370
1.000000E-04,7840,29,363
1.000000E-04,7850,29,366
1.000000E-04,7860,29,363
1.000000E-04,7870,29,368
1.000000E-04,7880,29,372
1.000000E-04,7890,29,365
1.000000E-04,7900,29,368
1.000000E-04,7910,29,366
1.000000E-04,7920,29,371
1.000000E-04,7930,29,366
1.000000E-04,7940,29,377
1.000000E-04,7950,29,367
1.000000E-04,7960,29,373
1.000000E-04,7970,29,366
1.000000E-04,7980,29,376
1.000000E-04,7990,29,373
1.000000E-04,8000,29,370
1.000000E-04,8010,29,370
1.000000E-04,8020,29,376
1.000000E-04,8030,29,379
1.000000E-04,8040,29,368
1.000000E-04,8050,29,364
1.000000E-04,8060,29,378
1.000000E-04,8070,29,373
1.000000E-04,8080,29,381
1.000000E-04,8090,29,374
1.000000E-04,8100,29,380
1.000000E-04,8110,29,375
1.000000E-04,8120,29,377
1.000000E-04,8130,29,368
1.000000E-04,8140,29,368
1.000000E-04,8150,29,394
1.000000E-04,8160,29,377
1.000000E-04,8170,29,380
1.000000E-04,8180,29,378
1.000000E-04,8190,29,379
1.000000E-04,8200,29,371
1.000000E-04,8210,29,378
1.000000E-04,8220,29,383
1.000000E-04,8230,29,385
1.000000E-04,8240,29,381
1.000000E-04,8250,29,390
1.000000E-04,8260,29,382
1.000000E-04,8270,29,387
1.000000E-04,8280,29,406
1.000000E-04,8290,29,413
1.000000E-04,8300,29,412
1.000000E-04,8310,29,405
1.000000E-04,8320,29,405
1.000000E-04,8330,29,405
1.000000E-04,8340,29,406
1.000000E-04,8350,29,406
1.000000E-04,8360,29,407
1.000000E-04,8370,29,379
1.000000E-04,8380,29,394
1.000000E-04,8390,29,407
1.000000E-04,8400,29,408
1.000000E-04,8410,29,401
1.000000E-04,8420,29,407
1.000000E-04,8430,29,392
1.000000E-04,8440,29,398
1.000000E-04,8450,29,391
1.000000E-04,8460,29,392
